date,account,slice,approach,executor_branch,diff_lines,duration_min,tokens_k,notes
2026-07-24,B,brand-tagline,solo,,4,,6,PR #57 siglă: Informația Zilei / Portalul știrilor tale
2026-07-24,B,taxonomy-local,solo,,34,,12,"PR #59 categoria local + SEED_CATEGORIES; 16 candidați, feedcheck a tăiat 13"
2026-07-24,B,monitor-local-engine,solo,,210,,22,PR #60 motor html_list generic + scrape_probe + probe.yml; 7 teste pe fixture
2026-07-24,B,county-papers-pin,solo,,62,,15,PR #62 7 ziare județene + PINNED_CATEGORIES (axa geografică)
2026-07-24,B,two-tier-nav,solo,,57,,20,PR #63 meniu 2 niveluri + etichete localizate + scos piataauto mort
2026-07-24,B,spec-geo-categorii,solo,,62,,9,PR #66 spec pentru executor; premisele au expirat în ore — lecție
2026-07-24,B,spec-parallel-fetch,solo,,55,,8,"PR #73 spec fetch paralel; executat de A, 6x mai rapid"
2026-07-24,B,regional-sources,agent,,40,,95,PR #79 2 agenți cercetare (~46k fiecare) + feedcheck: 16 din 21 vii
2026-07-24,B,impact-first-120,solo,,30,,14,PR #80 regulă statică municipiu>oraș>comună; 35 → 120 de primării
2026-07-24,B,impact-tier-wordboundary,solo,,22,,7,PR #81 bug real găsit de review-ul lui A: ORASTIOARA clasificat ca oraș
2026-07-24,B,coord-live-channel,solo,,12,,11,issue #83 canal live; POST /pulls dă 500 pt ambele conturi
2026-07-24,B,dead-primarii-denylist,ci,,45,,13,174617f 12 primării moarte scoase; sloturile eliberate merg la candidați vii
2026-07-24,B,cost-dashboard,solo,,260,,28,"jurnal CSV + COORD-DASHBOARD.md; A cedeaza artefactul, da datele Actions (gratis pe repo public)"
2026-07-25,B,subnav-scroll-hint,solo,,12,,9,meniul de categorii: 805px ascunsi pe mobil fara niciun indiciu; degrade la margine
2026-07-25,B,ghiduri-neverificate,solo,,150,,32,3 ghiduri afisau ✅Verificat peste valori placeholder; steag verificat + avertisment + breadcrumb 1.5:1
2026-07-25,B,review-fixes-85,solo,,90,,14,"review CodeRabbit: test fail-open inchis, limita 70, gramatica; regula link exact la verificat true"
2026-07-25,B,ci-reviewer-read-access,solo,,9,,18,PR #86: reviewerii Claude picau pe ORICE PR - allowed-tools fara Read/Grep; 5 refuzuri -> 0
2026-07-25,B,cadence-docs-si-ci-nonblocking,solo,,37,,26,"PR #88: CLAUDE.md zicea cron 30min, real 13 */2; reviewerii nu mai blocheaza PR pe cota epuizata"
2026-07-25,B,surse-catalog-complet,agent,claude/sources-catalog,225,,139,"PR #89: /surse/ arata 2 linkuri externe pe live; acum 189 surse, 121 primarii. Cost agent MASURAT"
2026-07-25,B,ui-dark-subnav-manifest,agent,claude/ui-shell-fixes,41,,160,"PR #91: --ink-3 pica contrastul in dark, 305 erori pa11y ascunse; subnav sticky; manifest + cache-bust"
2026-07-25,B,primarie-moarta-tacuta,ci,,4,,11,PR #90: feedcheck x2 confirma pl_vaslui_tacuta 403 WAF; slotul merge la pl_botosani_pomarla (viu)
