id	categorie	mecanism	dovada	pozitie	poate_bloca	autoritate	conditie_autoritate	mod	esec	bypass	eroziune	risc	stare	nota
1	guard	Garda de ingestie pe 8 straturi	generator/guard.py	fetch	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Autotest in cod; respinge itemul, nu il repara.
2	validator	Verificari mecanice de sinteza	generator/verifica_sinteza.py	process	nu	niciuna	-	detectiv	deschis	nu	2	3	activ	Raporteaza, nu respinge. Subsetul determinist e blocat separat de #37.
3	defensive-coding	Hardening parser XML (defusedxml)	generator/fetch.py	fetch	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Item exclus la exceptie; pipeline continua.
4	fallback	Retry/backoff pe surse	generator/fetch.py	fetch	nu	niciuna	-	preventiv	deschis	nu	1	2	activ	Abandoneaza sursa dupa retry; pierderile intra in #39.
5	fallback	Defer iteme la 429 AI	generator/main.py	process	nu	niciuna	-	recuperare	deschis	nu	1	2	activ	Valabilitate 3h; expirarea pierde itemul.
6	guard	Filtru de substanta (Zero Zgomot)	generator/main.py;generator/config.py	process	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Predicat unic folosit din doua locuri; fara desincronizare.
7	failover	Cascada AI (Gemini/Anthropic/Ollama)	generator/process.py	process	nu	niciuna	-	recuperare	deschis	nu	1	2	activ	Failover cu degradare de calitate; fara provider itemul se amana.
8	quality-gate	Buget AI (order/reserve/upgrade)	generator/main.py	process	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Amana cu motiv explicit; testat.
9	defensive-coding	Parse JSON tolerant	generator/process.py	process	da	efectiva	-	preventiv	inchis	nu	1	2	activ	JSON invalid total reia itemul la rularea urmatoare.
10	sanity-check	Reguli anti-inventie in prompt	generator/process.py;REGULI-SINTEZA.md	process	nu	niciuna	-	preventiv	deschis	nu	2	3	activ	O regula care traieste doar in prompt e o speranta, nu o garda.
11	human-review	Poarta de moderare umana	moderation.yaml;generator/moderation.py	moderation	da	efectiva	-	preventiv	inchis	da	2	2	activ	Config lipsa/invalid opreste publicarea; ocolibila prin editarea directa a starii.
12	validator	Dedup vizibil la publicare	generator/moderation.py	moderation	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Praguri pe stem-uri; evenimente distincte similare pot fi taiate.
13	defensive-coding	Jinja2 autoescape + xml_escape	generator/render.py	render	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Atributele href raman acoperite de garda de ingestie, nu de escape.
14	integrity-check	Limita de dimensiune a output-ului	generator/config.py	render	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Render-ul moare zgomotos la depasire.
15	quality-gate	Pipeline CI de publicare	.github/workflows/build.yml	build	da	efectiva	-	preventiv	inchis	da	1	2	activ	Jobul pica, publicarea nu are loc; deploy-worker ramane cale separata.
16	quality-gate	QA pe corpusul publicabil	tools/qa_check.py	build	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Blocant inainte de commit; include contractul titlurilor (vezi #17).
17	audit	Auditul titlurilor	tools/title_quality_audit.py;.github/workflows/editorial-quality.yml	build	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Schimbat fata de 2026-09-05: qa_check importa auditul, deci contractul blocheaza inainte de commit.
18	smoke-probe	Release probe	tools/verify_release.py	probe	nu	niciuna	-	detectiv	deschis	nu	1	2	activ	Compara commitul asteptat cu cel servit; raporteaza, nu opreste.
19	monitor	Uptime monitor pe trei fete	.github/workflows/monitor.yml	monitor	nu	niciuna	-	detectiv	deschis	nu	1	2	activ	Fereastra oarba de pana la 10 minute.
20	monitor	Smoke live orar	.github/workflows/smoke.yml;tools/smoke_live.py	probe	nu	niciuna	-	detectiv	deschis	nu	1	2	activ	Defect vizibil pana la o ora.
21	monitor	Probe la cerere	.github/workflows/probe.yml;.github/workflows/silent-probe.yml;.github/workflows/ua-probe.yml	probe	nu	niciuna	-	detectiv	deschis	da	1	2	activ	Doar workflow_dispatch; nu detecteaza nimic singur.
22	audit	Feedcheck	.github/workflows/feedcheck.yml;tools/feed_check.py	monitor	nu	niciuna	-	detectiv	deschis	nu	1	2	activ	Schimbat fata de 2026-09-05: are cron zilnic, nu mai e doar manual.
23	human-review	Revizuire zilnica	.github/workflows/revizuire.yml;tools/revizuire_zilnica.py	monitor	nu	niciuna	-	detectiv	deschis	nu	1	2	activ	Raport zilnic asupra eroziunii editoriale.
24	backup	Mirror host-independent	.github/workflows/build.yml	deploy	nu	niciuna	-	recuperare	deschis	nu	1	2	activ	Redundanta corelata: mirror si primary pleaca din acelasi build.
25	security-scan	CodeQL	.github/workflows/codeql.yml	build	da	conditionata	required status check pe main; branch protection CLASICA (rulesets=0, masurat); continutul ei da 403 Resource not accessible by integration	detectiv	deschis	nu	1	2	activ	Corectat: autoritatea depinde de branch protection, nu de existenta workflow-ului.
26	lint-static	Semgrep	.github/workflows/semgrep.yml	build	da	conditionata	required status check pe main; branch protection CLASICA (rulesets=0, masurat); continutul ei da 403 Resource not accessible by integration	detectiv	deschis	nu	1	2	activ	Corectat: la fel ca #25.
